Model Time,Hours Since Model Start,Amount Released,Evaporated,Dispersed,Sedimentation,Beached,Floating,Off_maps
2023-04-18 00:00,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2023-04-18 01:00,1.0,126490.29588,,109.17285436875282,1.2577949160098616,0.0,126379.8652307152,0.0
2023-04-18 02:00,2.0,262710.61452000006,,814.7844941753459,13.202189879368587,0.0,261882.62783594528,0.0
2023-04-18 03:00,3.0,398930.93316,,1881.0002933090836,32.534592239662544,0.0,397017.39827445126,0.0
2023-04-18 04:00,4.0,535151.2518,,3339.8828299211104,60.646045638661775,0.0,531750.7229244403,0.0
2023-04-18 05:00,5.0,671371.5704399999,,5130.7641800797,95.19080859169225,0.0,666145.6154513283,0.0
2023-04-18 06:00,6.0,807591.8890799999,,7260.835822580229,136.15843295141576,0.0,800194.8948244682,0.0
2023-04-18 07:00,7.0,943812.2077199998,,9742.730508362598,183.90882155620324,0.0,933885.5683900812,0.0
2023-04-18 08:00,8.0,1080032.5263599998,,12740.304144477253,245.13797905151768,0.0,1067047.0842364712,0.0
2023-04-18 09:00,9.0,1216252.845,,16179.389544988815,317.34756400700746,0.0,1199756.1078910045,0.0
2023-04-18 10:00,10.0,1342743.14088,,19967.932050626092,396.25369321446885,0.0,1322378.9551361594,0.0
2023-04-18 11:00,11.0,1478963.4595200003,,23937.187174050927,474.76476382850007,0.0,1454551.5075821204,0.0
2023-04-18 12:00,12.0,1615183.7781600005,,28170.359737495783,555.3142960129389,0.0,1586458.1041264911,0.0
2023-04-18 13:00,13.0,1751404.0968000006,,33045.33483904957,652.1401293189001,0.0,1717706.6218316313,0.0
2023-04-18 14:00,14.0,1887624.4154400008,,38625.15544160434,766.3382455568197,0.0,1848232.9217528389,0.0
2023-04-18 15:00,15.0,2023844.734080001,,44957.00864591717,899.5718086917212,0.0,1977988.1536253907,0.0
2023-04-18 16:00,16.0,2160065.052720001,,51881.42022752591,1044.365218382486,0.0,2107139.267274092,0.0
2023-04-18 17:00,17.0,2296285.371360001,,58976.21794680957,1182.4566755375627,0.0,2236126.696737653,0.0
2023-04-18 18:00,18.0,2432505.6900000013,,66184.55552979276,1312.4972133209267,0.0,2365008.637256886,0.0
2023-04-18 19:00,19.0,2558995.9858800014,,73034.60954297238,1419.444297540106,0.0,2484541.932039487,0.0
2023-04-18 20:00,20.0,2695216.3045200016,,80053.14142464178,1523.0804480971947,0.0,2613640.0826472607,0.0
2023-04-18 21:00,21.0,2831436.623160002,,87917.19155855456,1644.2536355312614,0.0,2741875.177965914,0.0
2023-04-18 22:00,22.0,2967656.941800002,,97837.22044327598,1826.5472342226299,0.0,2867993.174122501,0.0
2023-04-18 23:00,23.0,3103877.260440002,,111319.68306018843,2148.035696823181,0.0,2990409.541682988,0.0
2023-04-19 00:00,24.0,3240097.5790800024,,129110.20672586054,2682.527711200483,0.0,3108304.8446429386,0.0
2023-04-19 01:00,25.0,3376317.8977200026,,152177.29270106886,3541.505597593863,0.0,3220599.0994213363,0.0
2023-04-19 02:00,26.0,3512538.2163600028,,177763.02688030203,4540.892300204737,0.0,3330234.2971794927,0.0
